City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Ossora,RU,59.2353,163.0719,34.21,69,100,5.26,overcast clouds
229,Vila,PT,42.0304,-8.1588,66.33,68,6,3.78,clear sky
230,Salta,AR,-24.7859,-65.4117,74.57,39,99,11.01,overcast clouds
231,Vikhorevka,RU,56.1201,101.1636,29.79,79,84,2.66,broken clouds
232,Nyurba,RU,63.2842,118.3319,28.04,77,39,10.38,scattered clouds
233,Guerrero Negro,MX,27.9769,-114.0611,74.26,61,3,14.63,clear sky
234,Leningradskiy,RU,69.3833,178.4167,27.99,97,100,8.57,light snow
235,Lazaro Cardenas,MX,17.9583,-102.2,85.75,69,96,1.99,overcast clouds
236,San Javier,ES,37.8063,-0.8374,76.24,68,20,1.99,few clouds
237,Omsukchan,RU,62.5333,155.8,4.44,97,69,4.05,broken clouds
238,Obidos,BR,-1.9175,-55.5181,93.96,38,100,6.35,overcast clouds
239,Saint George,US,37.1041,-113.5841,73.35,51,75,1.01,broken clouds
240,San Cristobal,VE,7.7669,-72.225,84.38,59,96,7.9,overcast clouds
241,Abu Samrah,SY,35.3029,37.1841,70.38,21,0,4.18,clear sky
242,Atyrau,KZ,47.1167,51.8833,39.22,35,0,8.95,clear sky
243,Kalamnuri,IN,19.6667,77.3333,75.94,87,8,4.27,clear sky
244,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,75,75,28.77,broken clouds
245,Cap Malheureux,MU,-19.9842,57.6142,69.48,81,20,4.0,light rain
246,Valentin Gomez Farias,MX,28.2167,-106.5833,72.19,49,40,5.66,scattered clouds
247,Harper,LR,4.375,-7.7169,80.38,78,33,8.81,scattered clouds
248,Menongue,AO,-14.6585,17.691,68.77,73,100,10.4,overcast clouds
249,Shelburne,CA,44.0787,-80.2041,66.9,75,29,7.7,scattered clouds
250,Padang,ID,-0.9492,100.3543,78.13,84,81,3.02,broken clouds
251,Jabinyanah,TN,35.035,10.9081,76.23,58,74,13.53,broken clouds
252,Cherskiy,RU,68.75,161.3,11.75,97,97,7.29,overcast clouds
253,Sherlovaya Gora,RU,50.5667,116.25,37.24,85,100,3.6,overcast clouds
254,Umm Lajj,SA,25.0213,37.2685,81.28,72,0,10.31,clear sky
255,Cidreira,BR,-30.1811,-50.2056,69.87,69,66,1.81,broken clouds
256,San Patricio,US,28.017,-97.5169,87.87,39,10,1.97,clear sky
257,Livingston,GB,55.9029,-3.5226,54.84,70,0,9.22,clear sky
258,Krivosheino,RU,57.3431,83.9261,31.1,78,98,5.59,overcast clouds
259,Chapais,CA,49.7834,-74.8492,65.98,55,100,4.32,overcast clouds
260,Ahipara,NZ,-35.1667,173.1667,58.28,97,100,6.4,light rain
261,Mahebourg,MU,-20.4081,57.7,69.26,94,40,6.91,light rain
262,Kuryk,KZ,43.2,51.65,50.11,40,100,16.28,overcast clouds
263,Kruisfontein,ZA,-34.0033,24.7314,62.89,89,0,12.53,clear sky
264,Alofi,NU,-19.0595,-169.9187,69.69,94,41,1.14,scattered clouds
265,Solnechnyy,RU,50.7214,136.6319,34.97,63,2,5.91,clear sky
266,Kloulklubed,PW,7.0419,134.2556,75.7,74,100,19.08,overcast clouds
267,Sobolevo,RU,54.4299,31.8996,43.9,76,35,8.57,scattered clouds
268,North Bend,US,43.4065,-124.2243,55.17,93,1,8.05,clear sky
269,Manta,EC,-0.95,-80.7333,74.59,75,86,15.21,overcast clouds
270,Amapa,BR,1.0,-52.0,96.85,32,100,5.88,overcast clouds
271,Launceston,AU,-41.45,147.1667,47.84,92,90,8.99,heavy intensity rain
272,Baghdad,IQ,33.3406,44.4009,80.51,29,0,5.75,clear sky
273,Pacific Grove,US,36.6177,-121.9166,65.57,84,90,3.0,overcast clouds
274,Karema,TZ,-6.8205,30.4389,78.12,59,55,5.3,broken clouds
275,Snasa,NO,64.2457,12.3778,49.41,85,100,4.18,overcast clouds
276,Ayan,RU,56.45,138.1667,37.71,60,81,11.56,broken clouds
277,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,20,23.02,few clouds
278,Batagay,RU,67.6333,134.6333,27.09,65,100,6.26,overcast clouds
279,Kolosovka,RU,56.4678,73.611,35.87,98,99,8.61,overcast clouds
280,Grand Gaube,MU,-20.0064,57.6608,69.39,81,27,4.0,light rain
281,Date,JP,42.4681,140.8681,50.81,67,87,4.52,overcast clouds
282,Hayden,US,47.766,-116.7866,50.04,87,90,8.05,moderate rain
283,Saint Anthony,US,45.0205,-93.218,70.05,81,90,1.01,overcast clouds
284,Galle,LK,6.0367,80.217,79.68,85,55,9.22,broken clouds
285,Kokstad,ZA,-30.5472,29.4241,54.16,91,86,4.34,overcast clouds
286,Uptar,RU,59.75,150.9167,16.43,59,0,4.32,clear sky
287,Tasiilaq,GL,65.6145,-37.6368,35.76,63,0,4.47,clear sky
288,Broken Hill,AU,-31.95,141.4333,58.71,51,86,18.41,overcast clouds
289,Korla,CN,41.7597,86.1469,58.37,41,98,1.92,overcast clouds
290,Palmerston,AU,-12.486,130.9833,80.58,86,63,4.61,broken clouds
291,Valparaiso,CL,-33.0393,-71.6273,68.23,61,0,4.61,clear sky
292,Meiktila,MM,20.8667,95.8667,79.11,81,20,2.53,few clouds
293,Olafsvik,IS,64.8945,-23.7142,42.24,69,14,12.01,few clouds
294,Ust-Maya,RU,60.4167,134.5333,27.32,88,78,3.71,broken clouds
295,Brae,GB,60.3964,-1.353,46.31,76,12,6.06,few clouds
296,Huarmey,PE,-10.0681,-78.1522,68.02,76,99,9.84,overcast clouds
297,Lata,PT,40.1629,-8.3327,79.03,58,2,4.65,clear sky
298,Grindavik,IS,63.8424,-22.4338,46.35,70,75,13.8,broken clouds
299,Biscarrosse,FR,44.3945,-1.1672,66.65,63,0,5.75,clear sky
300,Sarangani,PH,5.4033,125.4636,83.82,74,100,10.78,overcast clouds
301,Tomatlan,MX,19.9333,-105.25,88.5,63,87,1.25,overcast clouds
302,Ormara,PK,25.2088,64.6357,80.55,82,24,7.94,few clouds
303,Vila Velha,BR,-20.3297,-40.2925,76.95,83,90,10.36,overcast clouds
304,Port Hardy,CA,50.6996,-127.4199,46.58,93,75,5.75,light intensity shower rain
305,Petatlan,MX,17.5167,-101.2667,89.4,64,40,3.44,scattered clouds
306,Gaogou,CN,34.0175,119.1886,69.39,82,91,14.9,light rain
307,Rawson,AR,-43.3002,-65.1023,56.01,23,0,5.86,clear sky
308,Banda Aceh,ID,5.5577,95.3222,79.21,79,100,5.59,overcast clouds
309,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,14.97,scattered clouds
310,Carberry,CA,49.8689,-99.3602,72.64,27,58,8.37,broken clouds
311,Fort Nelson,CA,58.8053,-122.7002,29.79,93,90,2.3,light snow
312,Arlit,NE,18.7369,7.3853,95.14,10,0,17.9,clear sky
313,Sibolga,ID,1.7427,98.7792,76.01,87,98,2.13,overcast clouds
314,Zeya,RU,53.75,127.2667,29.43,72,14,1.88,few clouds
315,Salalah,OM,17.0151,54.0924,80.69,89,75,8.05,broken clouds
316,Dzaoudzi,YT,-12.7887,45.2699,78.69,83,0,12.66,clear sky
317,Sioni,GE,41.9895,45.0239,43.16,96,100,2.82,overcast clouds
318,Ponta Delgada,PT,37.7333,-25.6667,77.5,94,75,13.8,broken clouds
319,Palu,ID,-0.8917,119.8707,75.0,96,74,2.66,broken clouds
320,Sao Filipe,CV,14.8961,-24.4956,81.46,69,51,9.37,broken clouds
321,Souillac,MU,-20.5167,57.5167,69.37,94,40,6.91,scattered clouds
322,Blagoyevo,RU,63.3667,47.9167,43.83,80,50,9.51,scattered clouds
323,Lalibela,ET,12.0333,39.0333,61.5,62,71,8.01,broken clouds
324,Oistins,BB,13.0667,-59.5333,87.89,70,40,26.46,scattered clouds
325,Bulgan,MN,48.8125,103.5347,41.32,52,76,1.12,broken clouds
326,Maniitsoq,GL,65.4167,-52.9,38.71,72,100,8.84,overcast clouds
327,Teguldet,RU,57.3064,88.1667,29.41,81,86,4.29,overcast clouds
328,Richmond,US,37.5538,-77.4603,77.99,88,90,5.99,overcast clouds
329,Nyuksenitsa,RU,60.4128,44.2397,40.28,88,48,6.29,scattered clouds
330,Mogadishu,SO,2.0371,45.3438,78.21,83,99,17.45,overcast clouds
331,Usinsk,RU,65.9939,57.5281,44.6,81,100,16.08,overcast clouds
332,Anamur,TR,36.0751,32.8369,71.62,54,0,6.69,clear sky
